       15	2018-05-23 17:03:12	1	0	1	0
       20	2018-05-23 17:04:42	1	0	1	0
       14	2018-05-23 17:22:26	1	0	1	0
        2	2018-05-23 17:23:17	1	0	1	0
       23	2018-05-23 17:30:27	1	0	1	0
        9	2018-05-23 17:30:36	1	0	1	0
       16	2018-05-23 17:31:46	1	0	1	0
        8	2018-05-23 17:41:35	1	0	1	0
        8	2018-05-23 17:41:52	1	0	1	0
        5	2018-05-23 17:49:43	1	0	1	0
       11	2018-05-23 17:50:06	1	0	1	0
        1	2018-05-23 17:50:15	1	0	1	0
       24	2018-05-23 17:52:29	1	0	1	0
        4	2018-05-23 18:09:04	1	0	1	0
       22	2018-05-23 18:13:25	1	0	1	0
        3	2018-05-23 18:13:51	1	0	1	0
       12	2018-05-23 18:13:59	1	0	1	0
       19	2018-05-23 18:14:12	1	0	1	0
       21	2018-05-23 19:23:56	1	0	1	0
       18	2018-05-23 19:46:16	1	0	1	0
       10	2018-05-23 19:50:16	1	0	1	0
        7	2018-05-23 20:05:46	1	0	1	0
        1	2018-05-24 02:07:36	1	0	1	0
       20	2018-05-24 04:08:20	1	0	1	0
        1	2018-05-24 04:08:29	1	0	1	0
       16	2018-05-24 07:45:42	1	0	1	0
       15	2018-05-24 08:41:17	1	0	1	0
       20	2018-05-24 08:45:35	1	0	1	0
       23	2018-05-24 08:49:19	1	0	1	0
       25	2018-05-24 08:52:05	1	0	1	0
        3	2018-05-24 08:58:39	1	0	1	0
       12	2018-05-24 08:58:57	1	0	1	0
        9	2018-05-24 09:00:28	1	0	1	0
        6	2018-05-24 09:01:45	1	0	1	0
       11	2018-05-24 09:01:51	1	0	1	0
        5	2018-05-24 09:06:45	1	0	1	0
        1	2018-05-24 09:07:09	1	0	1	0
       24	2018-05-24 09:09:06	1	0	1	0
       22	2018-05-24 09:09:24	1	0	1	0
        8	2018-05-24 09:09:41	1	0	1	0
        2	2018-05-24 09:13:30	1	0	1	0
       13	2018-05-24 09:17:15	1	0	1	0
        4	2018-05-24 09:22:01	1	0	1	0
       18	2018-05-24 09:22:13	1	0	1	0
       10	2018-05-24 09:24:44	1	0	1	0
